,Name only,page url,Ref count,nb_journal_citations,citation org,citation gov,citation IPCC,citation com,citationipbes,citationguardian,org score,gov score,com score,Sci score,IPCC score,percentage of official sources,Page id,Edit protection,Page lenght (Bytes),DOB,Creator,Total edits,Recent edits,Formated DOB,Year_month,Year
284,Greenhouse effect,https://en.wikipedia.org/wiki/Greenhouse_effect,74,26,8,9,8,10,0,0,0.1081081081,0.1216216216,0.1351351351,0.3513513514,0.1081081081,0.6891891892,12395,Require autoconfirmed or confirmed access (no expiry set),61433,31 July 2001,Belltower,5316,33,2001-07-31,2001-07,2001
285,North American Arctic,https://en.wikipedia.org/wiki/North_American_Arctic,9,3,2,0,0,0,0,0,0.2222222222,0,0,0.3333333333,0,0.5555555556,25585015,Allow all users (no expiry set),17218,28 December 2009,Zibran 1,66,0,2009-12-28,2009-12,2009
286,Loss and damage,https://en.wikipedia.org/wiki/Loss_and_damage,12,0,1,0,1,0,0,0,0.08333333333,0,0,0,0.08333333333,0.1666666667,37840109,Allow all users (no expiry set),7983,5 December 2012,Monsoon Waves,66,2,2012-12-05,2012-12,2012
287,Geography of Tibet,https://en.wikipedia.org/wiki/Geography_of_Tibet,16,2,3,0,0,3,0,0,0.1875,0,0.1875,0.125,0,0.3125,320375,Allow all users (no expiry set),15690,17 September 2003,Pascal,273,0,2003-09-17,2003-09,2003
288,Palsa,https://en.wikipedia.org/wiki/Palsa,25,9,2,0,0,1,0,0,0.08,0,0.04,0.36,0,0.44,10063238,Allow all users (no expiry set),30372,15 March 2007,Cycleskinla,185,0,2007-03-15,2007-03,2007
289,Tibetan Plateau,https://en.wikipedia.org/wiki/Tibetan_Plateau,38,11,4,0,0,9,0,0,0.1052631579,0,0.2368421053,0.2894736842,0,0.3947368421,523282,Allow all users (no expiry set),31887,13 March 2004,Waltpohl,1250,3,2004-03-13,2004-03,2004
290,Wildfire,https://en.wikipedia.org/wiki/Wildfire,326,84,32,47,2,39,0,1,0.0981595092,0.1441717791,0.1196319018,0.2576687117,0.006134969325,0.5061349693,56106,Allow all users (no expiry set),203832,11 June 2002,Fredbauder,5697,8,2002-06-11,2002-06,2002
291,Drunken trees,https://en.wikipedia.org/wiki/Drunken_trees,35,10,5,1,0,3,0,0,0.1428571429,0.02857142857,0.08571428571,0.2857142857,0,0.4571428571,7559746,Allow all users (no expiry set),23316,22 October 2006,Bueller 007,229,0,2006-10-22,2006-10,2006
292,Extreme weather,https://en.wikipedia.org/wiki/Extreme_weather,71,25,5,10,5,12,0,2,0.07042253521,0.1408450704,0.1690140845,0.3521126761,0.07042253521,0.6338028169,69902,Allow all users (no expiry set),46590,9 August 2002,The Cunctator,1286,16,2002-08-09,2002-08,2002
293,Climate finance,https://en.wikipedia.org/wiki/Climate_finance,37,3,22,0,2,2,0,1,0.5945945946,0,0.05405405405,0.08108108108,0.05405405405,0.7297297297,35528480,Allow all users (no expiry set),24079,17 April 2012,FSgruening,123,1,2012-04-17,2012-04,2012
294,Hardiness zone,https://en.wikipedia.org/wiki/Hardiness_zone,73,8,6,8,0,37,0,0,0.08219178082,0.1095890411,0.5068493151,0.1095890411,0,0.301369863,1720511,Allow all users (no expiry set),56452,10 April 2005,Dpr,1241,0,2005-04-10,2005-04,2005
295,Historical climatology,https://en.wikipedia.org/wiki/Historical_climatology,27,19,1,0,0,0,0,0,0.03703703704,0,0,0.7037037037,0,0.7407407407,6889084,Allow all users (no expiry set),27243,7 September 2006,Davidstrauss,169,0,2006-09-07,2006-09,2006
296,Alaska Current,https://en.wikipedia.org/wiki/Alaska_Current,10,3,2,2,0,1,0,0,0.2,0.2,0.1,0.3,0,0.7,2236052,Allow all users (no expiry set),9043,14 July 2005,Mare,136,0,2005-07-14,2005-07,2005
297,Environmental issues in Thailand,https://en.wikipedia.org/wiki/Environmental_issues_in_Thailand,166,9,35,0,0,94,0,0,0.2108433735,0,0.5662650602,0.05421686747,0,0.265060241,4243426,Allow all users (no expiry set),123436,1 March 2006,Bkwillwm,641,1,2006-03-01,2006-03,2006
298,Climate of Europe,https://en.wikipedia.org/wiki/Climate_of_Europe,30,4,2,2,0,6,0,0,0.06666666667,0.06666666667,0.2,0.1333333333,0,0.2666666667,25728235,Allow all users (no expiry set),16554,8 January 2010,Sophie means wisdom,594,9,2010-01-08,2010-01,2010
299,Tourism in Latvia,https://en.wikipedia.org/wiki/Tourism_in_Latvia,9,0,4,1,0,2,0,0,0.4444444444,0.1111111111,0.2222222222,0,0,0.5555555556,68850202,Allow all users (no expiry set),7208,30 September 2021,TootsieRollsAddict,20,0,2021-09-30,2021-09,2021
300,Pingo,https://en.wikipedia.org/wiki/Pingo,20,10,2,0,0,1,0,0,0.1,0,0.05,0.5,0,0.6,2717897,Allow all users (no expiry set),20820,20 September 2005,Wmahan,397,4,2005-09-20,2005-09,2005
301,Biodiversity loss,https://en.wikipedia.org/wiki/Biodiversity_loss,152,86,16,4,0,19,1,6,0.1052631579,0.02631578947,0.125,0.5657894737,0,0.7039473684,52968860,Allow all users (no expiry set),108332,24 January 2017,Kku,536,7,2017-01-24,2017-01,2017
302,Totoya,https://en.wikipedia.org/wiki/Totoya,2,0,1,0,0,1,0,0,0.5,0,0.5,0,0,0.5,3262590,Allow all users (no expiry set),9736,28 November 2005,Davidcannon,105,0,2005-11-28,2005-11,2005
303,Dipterocarpaceae,https://en.wikipedia.org/wiki/Dipterocarpaceae,19,9,2,0,0,0,0,1,0.1052631579,0,0,0.4736842105,0,0.5789473684,850778,Allow all users (no expiry set),15685,22 July 2004,Azhyd,274,5,2004-07-22,2004-07,2004
304,Fisheries management,https://en.wikipedia.org/wiki/Fisheries_management,63,17,13,3,0,5,0,0,0.2063492063,0.04761904762,0.07936507937,0.2698412698,0,0.5238095238,494704,Allow all users (no expiry set),46103,29 February 2004,Arnejohs,516,0,2004-02-29,2004-02,2004
305,Arctic methane emissions,https://en.wikipedia.org/wiki/Arctic_methane_emissions,40,19,1,3,0,7,0,1,0.025,0.075,0.175,0.475,0,0.575,19480112,Allow all users (no expiry set),34463,26 September 2008,Mporter,465,1,2008-09-26,2008-09,2008
306,White band disease,https://en.wikipedia.org/wiki/White_band_disease,15,4,4,2,0,0,0,0,0.2666666667,0.1333333333,0,0.2666666667,0,0.6666666667,2334724,Allow all users (no expiry set),17603,29 July 2005,212.143.65.249,73,0,2005-07-29,2005-07,2005
307,Bombus balteatus,https://en.wikipedia.org/wiki/Bombus_balteatus,7,2,2,1,0,0,0,0,0.2857142857,0.1428571429,0,0.2857142857,0,0.7142857143,20219504,Allow all users (no expiry set),5082,15 November 2008,Geschichte,73,0,2008-11-15,2008-11,2008
308,Soil carbon feedback,https://en.wikipedia.org/wiki/Soil_carbon_feedback,11,7,0,1,0,3,0,0,0,0.09090909091,0.2727272727,0.6363636364,0,0.7272727273,55488308,Allow all users (no expiry set),7286,9 October 2017,Prokaryotes,63,0,2017-10-09,2017-10,2017
309,IPCC Sixth Assessment Report,https://en.wikipedia.org/wiki/IPCC_Sixth_Assessment_Report,61,0,2,0,51,5,0,5,0.03278688525,0,0.08196721311,0,0.8360655738,0.868852459,66020107,Allow all users (no expiry set),51353,5 December 2020,Life'n'death,400,34,2020-12-05,2020-12,2020
310,Laurie David,https://en.wikipedia.org/wiki/Laurie_David,14,0,3,0,0,7,0,2,0.2142857143,0,0.5,0,0,0.2142857143,2661267,Allow all users (no expiry set),12585,11 September 2005,DGaw,500,0,2005-09-11,2005-09,2005
311,Impact of the COVID-19 pandemic on the environment,https://en.wikipedia.org/wiki/Impact_of_the_COVID-19_pandemic_on_the_environment,218,59,49,6,0,62,0,12,0.2247706422,0.02752293578,0.2844036697,0.2706422018,0,0.5229357798,63612268,Allow all users (no expiry set),140019,9 April 2020,Sdkb,783,3,2020-04-09,2020-04,2020
312,Small Island Developing States,https://en.wikipedia.org/wiki/Small_Island_Developing_States,7,1,6,0,0,0,0,0,0.8571428571,0,0,0.1428571429,0,1,3439212,Allow all users (no expiry set),10630,16 December 2005,Master Bob,186,2,2005-12-16,2005-12,2005
313,Tidewater glacier cycle,https://en.wikipedia.org/wiki/Tidewater_glacier_cycle,24,13,1,1,0,0,0,0,0.04166666667,0.04166666667,0,0.5416666667,0,0.625,13630730,Allow all users (no expiry set),24316,8 October 2007,Peltoms,144,0,2007-10-08,2007-10,2007
314,Biodiversity,https://en.wikipedia.org/wiki/Biodiversity,337,141,40,4,1,29,4,8,0.118694362,0.0118694362,0.08605341246,0.4183976261,0.00296735905,0.5637982196,45086,Allow all users (no expiry set),213597,20 March 2002,Pietro speroni,6304,5,2002-03-20,2002-03,2002
315,Mediterranean Sea,https://en.wikipedia.org/wiki/Mediterranean_Sea,129,20,17,1,0,37,0,3,0.1317829457,0.007751937984,0.2868217054,0.1550387597,0,0.2945736434,19006,Allow all users (no expiry set),126143,12 November 2001,Paul Drye,5675,65,2001-11-12,2001-11,2001
316,Extinction,https://en.wikipedia.org/wiki/Extinction,131,38,24,4,0,27,1,5,0.1832061069,0.03053435115,0.2061068702,0.2900763359,0,0.5114503817,49417,Allow all users (no expiry set),89085,17 April 2002,213.253.39.232,3282,1,2002-04-17,2002-04,2002
317,Hudson Plains Ecoregion,https://en.wikipedia.org/wiki/Hudson_Plains_Ecoregion,31,0,4,0,0,4,0,0,0.1290322581,0,0.1290322581,0,0,0.1290322581,39200440,Allow all users (no expiry set),31647,23 April 2013,Nrecoregion,86,0,2013-04-23,2013-04,2013
318,List of ecoregions in North America (CEC),https://en.wikipedia.org/wiki/List_of_ecoregions_in_North_America_(CEC),179,57,22,18,0,15,0,0,0.1229050279,0.1005586592,0.08379888268,0.3184357542,0,0.5418994413,17964574,Allow all users (no expiry set),227559,16 June 2008,Northwesterner1,472,0,2008-06-16,2008-06,2008
319,Stern Review,https://en.wikipedia.org/wiki/Stern_Review,93,14,13,9,0,10,0,3,0.1397849462,0.09677419355,0.1075268817,0.1505376344,0,0.3870967742,7694290,Allow all users (no expiry set),84089,30 October 2006,DMB,797,0,2006-10-30,2006-10,2006
320,White-rumped sandpiper,https://en.wikipedia.org/wiki/White-rumped_sandpiper,18,6,4,2,0,1,0,0,0.2222222222,0.1111111111,0.05555555556,0.3333333333,0,0.6666666667,314805,Allow all users (no expiry set),21078,9 September 2003,Big iron,134,2,2003-09-09,2003-09,2003
321,Environment of India,https://en.wikipedia.org/wiki/Environment_of_India,29,3,3,1,1,15,0,0,0.1034482759,0.03448275862,0.5172413793,0.1034482759,0.03448275862,0.275862069,15988807,Allow all users (no expiry set),24321,27 February 2008,Neelix,252,0,2008-02-27,2008-02,2008
322,IPCC Fourth Assessment Report,https://en.wikipedia.org/wiki/IPCC_Fourth_Assessment_Report,62,1,1,1,46,7,0,1,0.01612903226,0.01612903226,0.1129032258,0.01612903226,0.7419354839,0.7903225806,4243210,Allow all users (no expiry set),77284,1 March 2006,Jensbn,930,2,2006-03-01,2006-03,2006
323,Sustainable Development Goal 13,https://en.wikipedia.org/wiki/Sustainable_Development_Goal_13,73,6,45,2,5,4,0,0,0.6164383562,0.02739726027,0.05479452055,0.08219178082,0.06849315068,0.7945205479,64524803,Allow all users (no expiry set),52786,11 July 2020,Shanewatson20,137,2,2020-07-11,2020-07,2020
324,Enele Sopoaga,https://en.wikipedia.org/wiki/Enele_Sopoaga,40,0,6,0,0,18,0,0,0.15,0,0.45,0,0,0.15,28859161,Allow all users (no expiry set),28021,17 September 2010,Aridd,265,0,2010-09-17,2010-09,2010
325,Climatic Research Unit email controversy,https://en.wikipedia.org/wiki/Climatic_Research_Unit_email_controversy,157,9,18,14,3,47,0,22,0.1146496815,0.08917197452,0.2993630573,0.05732484076,0.01910828025,0.2802547771,25160837,Require administrator access (no expiry set),166396,22 November 2009,Doize77,5059,2,2009-11-22,2009-11,2009
326,Coast,https://en.wikipedia.org/wiki/Coast,19,3,4,2,0,5,0,0,0.2105263158,0.1052631579,0.2631578947,0.1578947368,0,0.4736842105,5236,Allow all users (no expiry set),29624,25 February 2002,Conversion script,1901,3,2002-02-25,2002-02,2002
327,Arctic resources race,https://en.wikipedia.org/wiki/Arctic_resources_race,56,9,9,4,0,20,0,0,0.1607142857,0.07142857143,0.3571428571,0.1607142857,0,0.3928571429,52926456,Allow all users (no expiry set),38058,20 January 2017,Lhashemi,230,0,2017-01-20,2017-01,2017
328,Environmental degradation,https://en.wikipedia.org/wiki/Environmental_degradation,35,7,7,0,0,6,0,3,0.2,0,0.1714285714,0.2,0,0.4,846000,Allow all users (no expiry set),34118,20 July 2004,Gdr,581,6,2004-07-20,2004-07,2004
329,Geography of North Korea,https://en.wikipedia.org/wiki/Geography_of_North_Korea,17,2,5,1,0,5,0,0,0.2941176471,0.05882352941,0.2941176471,0.1176470588,0,0.4705882353,21257,Allow all users (no expiry set),15570,25 February 2002,Conversion script,580,0,2002-02-25,2002-02,2002
330,Environmental threats to the Great Barrier Reef,https://en.wikipedia.org/wiki/Environmental_threats_to_the_Great_Barrier_Reef,113,7,22,25,0,33,0,5,0.1946902655,0.2212389381,0.2920353982,0.06194690265,0,0.4778761062,10244353,Allow all users (no expiry set),75880,24 March 2007,Malkinann,587,2,2007-03-24,2007-03,2007
331,Global warming game,https://en.wikipedia.org/wiki/Global_warming_game,26,3,6,1,0,11,0,1,0.2307692308,0.03846153846,0.4230769231,0.1153846154,0,0.3846153846,12330292,Allow all users (no expiry set),25163,19 July 2007,James2c19v,192,0,2007-07-19,2007-07,2007
332,Climate of South Carolina,https://en.wikipedia.org/wiki/Climate_of_South_Carolina,20,0,0,20,0,0,0,0,0,1,0,0,0,1,16380813,Allow all users (no expiry set),17808,18 March 2008,Thegreatdr,215,0,2008-03-18,2008-03,2008
333,Environmental impact of agriculture,https://en.wikipedia.org/wiki/Environmental_impact_of_agriculture,38,18,6,3,1,6,0,0,0.1578947368,0.07894736842,0.1578947368,0.4736842105,0.02631578947,0.7368421053,23534209,Allow all users (no expiry set),29199,8 July 2009,Alan Liefting,494,5,2009-07-08,2009-07,2009
334,Climate ethics,https://en.wikipedia.org/wiki/Climate_ethics,6,0,0,1,0,1,0,0,0,0.1666666667,0.1666666667,0,0,0.1666666667,7939170,Allow all users (no expiry set),11714,14 November 2006,Ntuana,194,5,2006-11-14,2006-11,2006
335,Climate of Georgia (U.S. state),https://en.wikipedia.org/wiki/Climate_of_Georgia_(U.S._state),22,1,2,8,0,11,0,0,0.09090909091,0.3636363636,0.5,0.04545454545,0,0.5,14711136,Allow all users (no expiry set),15159,15 December 2007,JohnnyReb1977,450,0,2007-12-15,2007-12,2007
336,Mindanao Current,https://en.wikipedia.org/wiki/Mindanao_Current,11,10,0,0,0,0,0,0,0,0,0,0.9090909091,0,0.9090909091,24896778,Allow all users (no expiry set),13670,30 October 2009,Dub4u,39,0,2009-10-30,2009-10,2009
337,Caribbean,https://en.wikipedia.org/wiki/Caribbean,101,2,15,7,0,36,0,1,0.1485148515,0.06930693069,0.3564356436,0.0198019802,0,0.2376237624,18956035,Allow all users (no expiry set),112567,21 January 2002,The Epopt,5268,15,2002-01-21,2002-01,2002
338,Environmental justice,https://en.wikipedia.org/wiki/Environmental_justice,131,39,23,1,0,9,0,2,0.1755725191,0.007633587786,0.06870229008,0.2977099237,0,0.4809160305,1860870,Allow all users (no expiry set),99920,9 May 2005,67.81.66.176,1104,25,2005-05-09,2005-05,2005
339,Geography of Guatemala,https://en.wikipedia.org/wiki/Geography_of_Guatemala,0,0,0,0,0,0,0,0,,,,,,,57639,Allow all users (no expiry set),7808,25 February 2002,Conversion script,269,2,2002-02-25,2002-02,2002
340,Geography of Georgia (U.S. state),https://en.wikipedia.org/wiki/Geography_of_Georgia_(U.S._state),30,0,13,4,0,10,0,0,0.4333333333,0.1333333333,0.3333333333,0,0,0.5666666667,11346742,Allow all users (no expiry set),20897,21 May 2007,JohnnyReb1977,338,0,2007-05-21,2007-05,2007
341,Quantitative easing,https://en.wikipedia.org/wiki/Quantitative_easing,166,5,30,8,0,50,0,7,0.1807228916,0.04819277108,0.3012048193,0.03012048193,0,0.2590361446,7235622,Allow all users (no expiry set),85896,1 October 2006,Mitsuhirato,2271,3,2006-10-01,2006-10,2006
342,Disease ecology,https://en.wikipedia.org/wiki/Disease_ecology,38,37,0,0,0,0,0,0,0,0,0,0.9736842105,0,0.9736842105,59716835,Allow all users (no expiry set),37621,20 January 2019,Noahedits,44,1,2019-01-20,2019-01,2019
343,Causes of poverty,https://en.wikipedia.org/wiki/Causes_of_poverty,58,5,17,2,0,17,0,1,0.2931034483,0.03448275862,0.2931034483,0.08620689655,0,0.4137931034,26411796,Allow all users (no expiry set),37280,3 March 2010,Janeyemma,879,0,2010-03-03,2010-03,2010
344,Child,https://en.wikipedia.org/wiki/Child,74,20,11,4,0,13,0,0,0.1486486486,0.05405405405,0.1756756757,0.2702702703,0,0.472972973,128987,Require administrator access (no expiry set),53185,23 October 2002,202.27.176.157,5712,3,2002-10-23,2002-10,2002
345,Temperature-dependent sex determination,https://en.wikipedia.org/wiki/Temperature-dependent_sex_determination,44,39,0,0,0,1,0,0,0,0,0.02272727273,0.8863636364,0,0.8863636364,9975050,Allow all users (no expiry set),33969,10 March 2007,Trachemys~enwiki,265,1,2007-03-10,2007-03,2007
346,Women and the environment,https://en.wikipedia.org/wiki/Women_and_the_environment,103,27,17,1,0,8,0,1,0.1650485437,0.009708737864,0.07766990291,0.2621359223,0,0.4368932039,8500280,Allow all users (no expiry set),94868,18 December 2006,A*Jangi,318,15,2006-12-18,2006-12,2006
347,Climate of Vietnam,https://en.wikipedia.org/wiki/Climate_of_Vietnam,18,5,3,0,0,2,0,0,0.1666666667,0,0.1111111111,0.2777777778,0,0.4444444444,18955693,Allow all users (no expiry set),69212,21 August 2008,The Transhumanist,153,0,2008-08-21,2008-08,2008
348,Ecological crisis,https://en.wikipedia.org/wiki/Ecological_crisis,1,0,0,0,0,0,0,0,0,0,0,0,0,0,400679,Allow all users (no expiry set),8227,14 December 2003,Anthere,217,0,2003-12-14,2003-12,2003
349,Abaiang,https://en.wikipedia.org/wiki/Abaiang,22,0,3,7,0,2,0,0,0.1363636364,0.3181818182,0.09090909091,0,0,0.4545454545,492154,Allow all users (no expiry set),17277,28 February 2004,195.93.33.10,224,1,2004-02-28,2004-02,2004
350,South Carolina,https://en.wikipedia.org/wiki/South_Carolina,117,2,25,29,0,30,0,0,0.2136752137,0.2478632479,0.2564102564,0.01709401709,0,0.4786324786,27956,Allow all users (no expiry set),127425,23 September 2001,Simon_J_Kissane,7483,15,2001-09-23,2001-09,2001
351,Climate of Minnesota,https://en.wikipedia.org/wiki/Climate_of_Minnesota,75,0,8,25,0,18,0,0,0.1066666667,0.3333333333,0.24,0,0,0.44,7762235,Allow all users (no expiry set),76477,3 November 2006,WxGopher,892,1,2006-11-03,2006-11,2006
352,Carbon cycle,https://en.wikipedia.org/wiki/Carbon_cycle,131,83,8,10,3,9,0,1,0.06106870229,0.07633587786,0.06870229008,0.6335877863,0.02290076336,0.7938931298,47503,Allow all users (no expiry set),102208,3 April 2002,Mav,3740,0,2002-04-03,2002-04,2002
353,Tuvalu,https://en.wikipedia.org/wiki/Tuvalu,327,19,66,25,0,57,0,5,0.2018348624,0.07645259939,0.1743119266,0.05810397554,0,0.3363914373,30227,Require administrator access (no expiry set),193571,30 May 2001,KoyaanisQatsi,4703,30,2001-05-30,2001-05,2001
354,Ocean dynamical thermostat,https://en.wikipedia.org/wiki/Ocean_dynamical_thermostat,26,22,0,0,0,0,0,0,0,0,0,0.8461538462,0,0.8461538462,68027732,Allow all users (no expiry set),28485,23 June 2021,Jo-Jo Eumerus,46,0,2021-06-23,2021-06,2021
355,Vermont,https://en.wikipedia.org/wiki/Vermont,366,3,46,48,0,123,0,0,0.1256830601,0.131147541,0.3360655738,0.008196721311,0,0.2650273224,32578,Require administrator access (no expiry set),216987,4 October 2001,Sammy snake,7881,14,2001-10-04,2001-10,2001
356,Urban heat island,https://en.wikipedia.org/wiki/Urban_heat_island,131,53,14,24,2,8,0,2,0.106870229,0.1832061069,0.06106870229,0.4045801527,0.01526717557,0.7099236641,32236,Allow all users (no expiry set),96101,6 December 2001,Ed Poor,1551,5,2001-12-06,2001-12,2001
357,Kyrgyzstan,https://en.wikipedia.org/wiki/Kyrgyzstan,146,6,51,2,0,39,0,3,0.3493150685,0.01369863014,0.2671232877,0.04109589041,0,0.404109589,170131,Require administrator access (no expiry set),118843,11 May 2001,KoyaanisQatsi,5080,21,2001-05-11,2001-05,2001
358,Water in California,https://en.wikipedia.org/wiki/Water_in_California,117,6,19,26,1,25,0,1,0.1623931624,0.2222222222,0.2136752137,0.05128205128,0.008547008547,0.4444444444,20732259,Allow all users (no expiry set),90317,16 December 2008,Average man31,631,4,2008-12-16,2008-12,2008
359,Benin City,https://en.wikipedia.org/wiki/Benin_City,98,9,4,0,1,43,0,9,0.04081632653,0,0.4387755102,0.09183673469,0.01020408163,0.1428571429,317744,Allow all users (no expiry set),47374,13 September 2003,Wetman,875,0,2003-09-13,2003-09,2003
360,Greta Thunberg,https://en.wikipedia.org/wiki/Greta_Thunberg,292,6,29,1,0,153,0,48,0.09931506849,0.003424657534,0.5239726027,0.02054794521,0,0.1232876712,59214935,"Require autoconfirmed or confirmed access (18:44, 30 December 2023)",204495,1 December 2018,Gfosankar,4143,7,2018-12-01,2018-12,2018
